ENTITYID,ADDRESSSTATECODE,POSTALCODE
1404,ID,83285
1405,MA,1950
1406,VA,23434
1408,NJ,7920
1409,FL,33043
1410,TX,79347
1411,GU,96912
1412,TX,75092
1414,HI,96720
1415,MT,59457
1416,MN,56501
1417,HI,96754
1418,LA,71363
1419,MI,49883
1420,GA,31331
1422,TN,38069
1423,CA,92363
1426,MS,38924
1427,FL,33475
1428,AR,72834
1429,WI,53050
1430,CA,95551
1431,MI,49883
1432,SD,57350
1433,CO,80480
1434,AZ,85365
1435,AK,99741
1436,IA,50480
1437,NY,14013
1438,FL,33957
1440,ND,58789
1441,ND,58789
1442,FL,33957
1443,HI,96712
1444,VA,23030
1445,MA,1375
1446,PA,19153
1447,WA,98624
1448,AK,99701
1449,HI,96753
1450,ND,58301
1451,AK,99669
1452,CA,93215
1453,FL,33043
1454,HI,96754
1455,MI,49883
1456,KS,67644
1457,OR,97624
1458,AK,99615
1459,AZ,85365
1460,ID,83805
1461,AK,99741
1463,LA,70630
1464,SD,57551
1466,TX,78566
1467,PR,622
1468,ND,58301
1469,SD,57356
1472,ND,58626
1473,TN,38261
1474,MT,59457
1476,LA,71351
1478,NH,3579
1479,FL,32130
1480,ND,58730
1481,NM,87701
1482,MT,59870
1483,WI,53901
1484,WA,98612
1485,MN,55355
1486,WA,99114
1487,OK,74728
1488,ND,58560
1490,ND,58746
1491,LA,71241
1492,TN,39041
1493,CA,96134
1494,FL,32626
1495,NC,27950
1496,SD,57042
1498,LA,70360
1501,VA,22079
1502,MS,38924
1503,FL,33957
1504,NC,27885
1505,NM,87728
1506,TX,77655
1507,WA,99323
1508,HI,96850
1509,MT,59247
1511,CA,93635
1512,IL,62665
1513,FL,32781
1514,HI,96850
1515,MO,63960
1516,ID,83350
1517,MN,55425
1518,MN,55425
1519,VT,5488
1520,MS,39553
1521,CA,96101
1522,MA,2633
1523,CO,81144
1524,NY,13148
1525,ME,4694
1526,MS,38924
1527,MN,56267
1528,TX,79347
1529,IN,47274
1530,MA,1776
1531,MT,59824
1532,WY,83001
1533,FL,33043
1534,IA,50228
1535,WI,54646
1537,RI,2813
1538,WA,98516
1539,NE,69631
1540,MT,59824
1541,AK,99741
1542,MS,39739
1543,WV,26187
1544,GA,31537
1545,OK,73625
1547,OH,43449
1548,UT,84063
1549,AR,71661
1550,MA,1451
1552,NY,11771
1555,NV,89001
1556,MS,39194
1557,MA,1950
1559,IN,47660
1560,MD,20708
1561,NC,27968
1562,NC,28170
1563,FL,32963
1564,ME,4841
1565,GA,31038
1566,GA,31405
1567,FL,33957
1569,NC,27925
1570,AR,71846
1571,ME,4856
1573,DE,19968
1574,KS,67578
1575,ME,4090
1576,NE,68940
1577,VA,22572
1578,MT,59739
1579,TN,38261
1580,MN,55760
1581,WA,98642
1582,NC,27983
1583,CO,80022
1584,PR,622
1585,MN,55987
1586,LA,70645
1587,RI,2842
1588,CA,95988
1591,OK,73749
1592,CA,92233
1593,TX,77422
1594,AZ,85608
1595,CA,91910
1596,CA,93635
1597,CA,94954
1598,SD,57433
1599,SD,57433
1600,VI,820
1601,TX,78516
1602,SC,29148
1605,CA,90740
1606,WY,82935
1607,AK,99752
1608,MI,49883
1609,OK,74962
1610,OR,97630
1611,LA,70445
1612,MN,55398
1614,MI,48601
1615,ND,58560
1616,MO,64470
1617,MS,39165
1618,WI,54017
1619,FL,32355
1620,FL,32320
1621,CT,6498
1623,NV,89406
1626,ME,4468
1627,NJ,8070
1629,MO,64681
1631,NC,27885
1632,CA,91935
1633,MS,38902
1634,MN,56578
1636,NY,11743
1637,TN,38242
1638,LA,71282
1639,AK,99780
1640,ND,58013
1642,TX,77655
1643,CA,91932
1644,OK,73460
1645,AK,99576
1647,WI,54661
1648,RI,2879
1649,CA,96134
1650,WA,99004
1652,MT,59457
1653,OR,97844
1654,IA,50480
1657,LA,71363
1658,ND,58718
1659,NE,69201
1660,ND,58072
1661,NJ,7461
1662,NH,3468
1663,AR,72006
1664,MT,59457
1665,OK,73625
1666,GA,31405
1667,SD,57273
1668,SD,57273
1669,NY,11967
1670,AL,35603
1671,AR,72140
1672,OK,73552
1673,WA,98624
1674,OR,97333
1675,MN,56101
1677,MS,38748
1678,AK,99559
1679,AK,99701
1684,CA,96101
1685,MO,63456
1686,IL,62231
1687,MO,63386
1688,MO,63386
1689,IL,62261
1690,IL,62812
1691,IL,62565
1692,MO,63966
1693,CO,80459
1694,CO,81401
1697,CO,81144
1700,CO,81212
1701,WI,53202
1705,UT,84790
1707,OR,97754
1708,CO,80459
1708,CO,81652
1709,CO,81652
1710,CO,81331
1712,NV,89701
1715,CO,81212
1717,OR,97459
1719,NM,87505
1719,NM,87504
1725,WY,82520
1728,OR,97459
1730,OR,97459
1731,ID,83318
1732,UT,84741
1734,NV,89801
1736,NM,87571
1737,CA,93555
1738,ID,83639
1740,CA,93308
1741,OR,97459
1742,OR,97459
1747,CO,81506
1748,CA,95482
1751,OR,97504
1752,OR,97477
1754,AZ,85546
1755,ID,83226
1756,ND,58601
1757,ID,83705
1759,OR,97306
1760,NM,88005
1761,CA,96101
1762,CA,93555
1763,WA,98261
